,ticker,date,time,title,compound,Close,day1_high,day1_low,arima_value,arima_res,prediction,observation
0,AZRE,May-26-22,05:25PM  ,"Maxeon Solar Technologies, Ltd. (MAXN) Reports Q1 Loss, Tops Revenue Estimates",0.25,15.140000343322754,15.74,15.2,15.084995689478028,-1,Neutral,positive
1,AZRE,May-24-22,07:15AM  ,Canadian Solar (CSIQ) Q1 Earnings Top Estimates,0.2023,13.890000343322754,15.23,13.76,13.771428287469943,-1,Neutral,positive
2,AZRE,May-13-22,01:33PM  ,"Loss-making Azure Power Global (NYSE:AZRE) sheds a further 184m, taking total shareholder losses to 36% over 1 year",-0.4019,12.399999618530273,12.69,12.11,12.644306171626774,1,Neutral,positive
3,AZRE,May-11-22,07:30AM  ,Azure Power announces appointment of Delphine Voeltzel as Nominee Director from OMERS Infrastructure,0.0,11.649999618530273,12.23,11.11,0.0,0,Neutral,positive
4,AZRE,May-06-22,08:12AM  ,Azure Power Announces Appointment of New Chief Executive Officer,0.0,14.229999542236328,13.89,12.67,0.0,0,Neutral,negative
5,AZRE,May-02-22,07:30AM  ,Azure Power fully commissions its 90 MW solar power project in Assam,0.0,14.420000076293945,15.1,14.38,0.0,0,Neutral,negative
6,AZRE,Apr-26-22,07:58AM  ,Azure Power Announces Resignation of Ranjit Gupta as Chief Executive Officer and Murali Subramanian as Chief Operating Officer,-0.296,12.930000305175781,13.44,12.85,12.8534935558291,-1,Decrease,Success
7,AZRE,Mar-16-22,08:32AM  ,Azure Power (AZRE) Commissions 300 MW Solar Project in India,0.0,19.920000076293945,21.5,19.54,0.0,0,Neutral,negative
8,AZRE,Mar-14-22,06:30AM  ,"Azure Power fully commissions its 300 MWs SECI project, Rajasthan 8, in Bhadla, Rajasthan",0.0,18.190000534057617,19.87,17.89,0.0,0,Neutral,positive
9,AZRE,Feb-28-22,01:30PM  ,Azure Power Global Limited (AZRE) Q3 2022 Earnings Call Transcript,-0.2263,16.549999237060547,18.7,16.31,16.288373920891782,-1,Decrease,Success
10,AZRE,Feb-28-22,06:30AM  ,Azure Power announces change in Board of Directors,0.0,16.549999237060547,18.7,16.31,0.0,0,Neutral,positive
11,AZRE,Feb-25-22,05:30PM  ,Azure Power Announces Results for Third Quarter Fiscal 2022,0.0,15.649999618530273,18.78,16.1,0.0,0,Neutral,positive
12,AZRE,Feb-23-22,05:30PM  ,"Azure Power to Announce Results for Third Quarter Fiscal 2022 Ended December 31, 2021, After the Market Closes on February 25, 2022",0.0,13.789999961853027,15.2,13.04,0.0,0,Neutral,positive
13,AZRE,Feb-22-22,06:30AM  ,Azure Power refinances its 600 MWs ISTS connected solar project at the lowest rate of interest in its portfolio to date,0.1027,14.0,14.35,13.72,13.89588840436339,-1,Neutral,positive
14,AZRE,Feb-15-22,05:25PM  ,SolarEdge Technologies (SEDG) Lags Q4 Earnings Estimates,-0.3612,16.639999389648438,17.26,16.5,16.379682485099487,-1,Decrease,Success
15,AZRE,Feb-14-22,09:49AM  ,SunPower (SPWR) Set to Post Q4 Earnings: What's in Store?,0.0,15.520000457763672,16.69,15.49,0.0,0,Neutral,positive
16,AZRE,Feb-03-22,06:30AM  ,"Azure Power releases its third annual sustainability report for FY 2020-21, commits to water neutrality by 2023",0.0258,13.449999809265137,13.86,13.04,13.49634847055887,1,Increase,Success
17,AZRE,Feb-02-22,03:01PM  ,Will Azure Power (AZRE) Report Negative Q3 Earnings? What You Should Know,-0.5719,13.819999694824219,14.21,13.27,13.562353312735741,-1,Decrease,Success
18,AZRE,Jan-24-22,05:00PM  ,Azure Power's rights issue closes for subscription,0.0,14.550000190734863,14.72,13.79,0.0,0,Neutral,negative
19,AZRE,Jan-07-22,07:30AM  ,Azure Power's Rights Issue open for subscription,0.0,16.510000228881836,16.33,14.88,0.0,0,Neutral,negative
20,AZRE,Jan-04-22,10:00AM  ,Wall Street Analysts See a 103% Upside in Azure Power (AZRE): Can the Stock Really Move This High?,0.0,17.75,17.1,16.06,0.0,0,Neutral,negative
21,AZRE,Jan-03-22,03:30AM  ,"Azure Power fully commissions its 600 MWs SECI project, the largest owned and operated single site solar project in India",0.0,18.1200008392334,18.31,17.02,0.0,0,Neutral,negative
22,AZRE,Dec-27-21,09:03AM  ,Azure Power: Operational and financial Update,0.0,16.729999542236328,17.98,16.53,0.0,0,Neutral,positive
23,AZRE,Dec-27-21,08:05AM  ,Azure Power: NOTICE OF RECORD DATE,0.0,16.729999542236328,17.98,16.53,0.0,0,Neutral,positive
24,AZRE,Dec-27-21,08:01AM  ,Azure Power Announces Rights Offering for Equity Shares,0.296,16.729999542236328,17.98,16.53,16.72367004362527,-1,Neutral,positive
25,AZRE,Dec-26-21,03:38AM  ,"India Fund Inc Buys Vijaya Diagnostic Centre, Zomato, IndiaMART InterMESH, Sells Bandhan Bank, ...",0.0,16.729999542236328,17.98,16.53,0.0,0,Neutral,positive
26,AZRE,Dec-24-21,10:13AM  ,Top Solar Stocks for Q1 2022,0.2023,16.729999542236328,17.98,16.53,18.309611185769747,1,Increase,Success
27,AZRE,Dec-22-21,07:30AM  ,Azure Power Global Limited (AZRE) Q2 2022 Earnings Call Transcript,-0.2263,19.149999618530273,19.27,18.5,19.23251136311335,1,Neutral,negative
