,ticker,date,time,title,compound,Close,day1_high,day1_low,arima_value,arima_res,prediction,observation
0,HDB,Apr-20-22,12:06AM  ,"Energy, auto stocks drive Indian shares higher",0.5106,55.849998474121094,56.97,55.15,55.401917310287715,-1,Neutral,positive
1,HDB,Apr-19-22,12:00AM  ,How to make 20 times your money in private equity,0.0,54.56999969482422,56.19,54.71,0.0,0,Neutral,positive
2,HDB,Apr-17-22,08:30PM  ,"Indias biggest-ever merger driven by regulatory tightening, HDFC chair says",0.0,54.25,54.71,52.9,0.0,0,Neutral,positive
3,HDB,Apr-11-22,01:00PM  ,Should You Buy India Financials ETF (INDF) on M&A Boom?,0.0,62.0,62.39,60.35,0.0,0,Neutral,negative
4,HDB,Apr-07-22,09:34AM  ,Is HDFC Bank (HDB) a Great Long-Term Investment?,0.6249,62.650001525878906,63.6,62.45,63.31525796946862,1,Increase,Success
5,HDB,Apr-05-22,07:27AM  ,HDFC Bank's $40 billion deal may face regulatory hurdles due to insurance ops - analysts,0.0,64.75,63.46,62.57,0.0,0,Neutral,negative
6,HDB,Apr-04-22,03:26PM  ,HDFC Bank Stock Surges: Why This Could Be Just the Beginning,0.0,67.66999816894531,67.04,64.68,0.0,0,Neutral,negative
7,HDB,Apr-04-22,12:40PM  ,Why HDFC Bank Stock Is Zooming Today,0.0,67.66999816894531,67.04,64.68,0.0,0,Neutral,negative
8,HDB,Apr-04-22,10:13AM  ,Indias Most Valuable Bank Set to Grow With Home-Lending Deal,0.5256,67.66999816894531,67.04,64.68,67.28317840508304,-1,Neutral,negative
9,HDB,Apr-04-22,08:17AM  ,Indias HDFC Bank plans megamerger with housing finance parent,0.0,67.66999816894531,67.04,64.68,0.0,0,Neutral,negative
10,HDB,Apr-04-22,07:30AM  ,Indias HDFC Bank Adds Mortgage Lender in $60 Billion Deal,0.0,67.66999816894531,67.04,64.68,0.0,0,Neutral,negative
11,HDB,Apr-03-22,11:45PM  ,HDFC Bank creates Indian lending behemoth in $40 billion deal,0.2732,67.66999816894531,67.04,64.68,62.90315623163393,-1,Neutral,negative
12,HDB,Mar-30-22,10:04AM  ,10 Banking and Finance Stocks to Buy Today According To Rajiv Jains GQG Partners,0.0,61.22999954223633,61.84,61.02,0.0,0,Neutral,positive
