,ticker,date,time,title,compound,Close,day1_high,day1_low,arima_value,arima_res,prediction,observation
0,SIFY,May-26-22,09:27AM  ,Investors Will Want Sify Technologies' (NASDAQ:SIFY) Growth In ROCE To Persist,0.4404,2.119999885559082,2.23,2.15,2.0978339357797733,-1,Neutral,positive
1,SIFY,May-12-22,07:00AM  ,Cyxtera Expands to India Through Strategic Partnership with Sify Technologies,0.1027,1.9500000476837158,2.19,1.93,1.9769202178194785,1,Increase,Success
2,SIFY,May-10-22,07:00AM  ,Sidoti May Virtual Micro Cap Investor Conference,0.0,2.109999895095825,2.18,1.87,0.0,0,Neutral,negative
3,SIFY,May-08-22,08:20AM  ,Sify Technologies' (NASDAQ:SIFY) investors will be pleased with their solid 192% return over the last five years,0.5423,2.109999895095825,2.2,2.02,2.4498893300750906,1,Increase,Success
4,SIFY,Apr-18-22,11:12AM  ,Here's How Sify Technologies Fared In Q4,0.0,2.859999895095825,2.95,2.86,0.0,0,Neutral,negative
5,SIFY,Apr-18-22,08:54AM  ,Sify reports Consolidated financial results for FY 2021-22,0.0,2.859999895095825,2.95,2.86,0.0,0,Neutral,negative
6,SIFY,Apr-11-22,08:57AM  ,"Sify Technologies to announce Financial Results for FY 2021-22 on April 18, 2022",0.0,2.890000104904175,3.03,2.89,0.0,0,Neutral,positive
7,SIFY,Mar-23-22,11:30PM  ,A Dotcom Era Pioneer in India Readies Second Startup for an IPO,0.0,3.059999942779541,3.1,2.98,0.0,0,Neutral,negative
8,SIFY,Mar-18-22,08:02AM  ,Here's Why I Think Sify Technologies (NASDAQ:SIFY) Is An Interesting Stock,0.4019,3.009999990463257,3.05,2.95,3.002688505355525,-1,Neutral,positive
9,SIFY,Feb-23-22,02:00AM  ,Sify Data Centers to Invest in over 200 MW of Green Power,0.0,2.819999933242798,2.93,2.75,0.0,0,Neutral,positive
10,SIFY,Feb-10-22,10:37AM  ,Should You Think About Buying Sify Technologies Limited (NASDAQ:SIFY) Now?,-0.2263,3.130000114440918,3.14,2.96,3.1436762088287846,1,Neutral,negative
11,SIFY,Jan-31-22,08:00AM  ,Sify Technologies Recognized as a NICHE PLAYER In The 2021 Gartner® Magic Quadrant For Managed Network Services,0.0,3.0299999713897705,3.3,2.98,0.0,0,Neutral,positive
12,SIFY,Jan-24-22,07:00AM  ,Sify reports Consolidated financial results for Third quarter of 2021-22,0.0,3.0,3.09,2.9,0.0,0,Neutral,negative
13,SIFY,Jan-18-22,06:35AM  ,"Sify Technologies to announce Financial Results for Third Quarter FY 2021-22 on January 24, 2022",0.0,3.25,3.3,3.19,0.0,0,Neutral,negative
14,SIFY,Jan-05-22,08:33AM  ,Is Sify Technologies Limited's (NASDAQ:SIFY) Stock's Recent Performance Being Led By Its Attractive Financial Prospects?,0.6249,3.069999933242798,3.13,3.0,3.118892358094684,1,Increase,Success
15,SIFY,Dec-28-21,11:40AM  ,SIFY vs. SHOP: Which Stock Should Value Investors Buy Now?,0.34,3.009999990463257,3.11,3.0,3.0238483106217378,1,Increase,Success
16,SIFY,Dec-28-21,09:40AM  ,Are These Computer and Technology Stocks Undervalued Right Now?,0.0,3.009999990463257,3.11,3.0,0.0,0,Neutral,positive
17,SIFY,Dec-09-21,11:40AM  ,SIFY vs. SHOP: Which Stock Is the Better Value Option?,0.6486,3.2100000381469727,3.25,3.1,3.2458714109637796,1,Increase,Success
18,SIFY,Dec-06-21,11:14AM  ,We Like These Underlying Return On Capital Trends At Sify Technologies (NASDAQ:SIFY),0.3612,3.140000104904175,3.32,3.2,3.180043430992913,1,Increase,Success
19,SIFY,Dec-03-21,09:01AM  ,9 Best Indian Stocks to Buy Right Now,0.6369,3.200000047683716,3.31,3.01,3.254180500235474,1,Increase,Success
20,SIFY,Nov-23-21,11:40AM  ,SIFY or SHOP: Which Is the Better Value Stock Right Now?,0.6486,3.559999942779541,3.62,3.48,3.5924337083119076,1,Increase,Success
21,SIFY,Nov-18-21,08:45AM  ,Time to Focus on Sify Technologies (SIFY) for Strong Earnings Growth Potential,0.7096,3.8299999237060547,4.0,3.78,3.8340929191198643,1,Increase,Success
22,SIFY,Nov-09-21,10:59AM  ,UBER Collaborates With Serve Robotics for On-Demand Delivery,0.0,3.619999885559082,3.65,3.47,0.0,0,Neutral,positive
23,SIFY,Nov-05-21,02:19PM  ,Sify Technologies (NASDAQ:SIFY) shareholders have earned a 29% CAGR over the last five years,0.0,3.5399999618530273,3.6,3.5,0.0,0,Neutral,positive
24,SIFY,Nov-04-21,11:40AM  ,SIFY or SHOP: Which Is the Better Value Stock Right Now?,0.6486,3.490000009536743,3.61,3.43,3.491424138006111,1,Increase,Success
25,SIFY,Nov-01-21,09:51AM  ,Kotak Special Situations Fund to invest INR 1000 crores in  Sifys Data Center business,0.4019,3.549999952316284,3.55,3.41,3.555295311378534,1,Increase,Success
26,SIFY,Oct-29-21,08:33AM  ,"Sify Clocks 18% Revenue Growth In Q2, Profit Expands 39%",0.7096,3.559999942779541,3.8,3.52,3.5534445217789115,-1,Neutral,negative
27,SIFY,Oct-29-21,07:19AM  ,Sify reports Consolidated financial results for Second quarter of 2021-22,0.0,3.559999942779541,3.8,3.52,0.0,0,Neutral,negative
28,SIFY,Oct-22-21,08:38AM  ,"Sify Technologies to announce Financial Results for  Second Quarter FY 2021-22 on October 29, 2021",0.0,3.3499999046325684,3.45,3.35,0.0,0,Neutral,positive
29,SIFY,Oct-06-21,12:22PM  ,Here's Why We Think Sify Technologies (NASDAQ:SIFY) Is Well Worth Watching,0.4588,3.25,3.36,3.27,3.28187001283996,1,Increase,Success
30,SIFY,Sep-27-21,11:40AM  ,SIFY vs. TTD: Which Stock Should Value Investors Buy Now?,0.34,3.5,3.52,3.4,3.509666884766834,1,Increase,Success
31,SIFY,Sep-21-21,07:35AM  ,Sidoti: Fall Virtual Small Cap Investor Conference,0.0,3.2200000286102295,3.35,3.22,0.0,0,Neutral,positive
32,SIFY,Sep-20-21,08:34AM  ,Indias First Commercial Data Center completes  21 years in Operation,0.0,3.140000104904175,3.24,3.16,0.0,0,Neutral,positive
33,SIFY,Sep-10-21,11:40AM  ,SIFY vs. TTD: Which Stock Is the Better Value Option?,0.6486,3.8299999237060547,3.79,3.35,3.840189354037406,1,Increase,Failure
34,SIFY,Sep-01-21,08:29AM  ,Sify Technologies announces channel partnership with Colt Technology Services for Europe,0.0,3.690000057220459,3.82,3.66,0.0,0,Neutral,positive
35,SIFY,Aug-31-21,10:45AM  ,What Does Sify Technologies Limited's (NASDAQ:SIFY) Share Price Indicate?,0.296,3.6500000953674316,3.75,3.6,3.6579408536211773,1,Increase,Success
36,SIFY,Aug-19-21,11:40AM  ,SIFY vs. ZS: Which Stock Should Value Investors Buy Now?,0.34,3.190000057220459,3.32,3.2,3.254645803207608,1,Increase,Success
37,SIFY,Aug-03-21,11:40AM  ,SIFY vs. TTD: Which Stock Is the Better Value Option?,0.6486,3.569999933242798,3.65,3.5,3.5247748522700575,-1,Neutral,positive
