,ticker,date,time,title,compound,Close,day1_high,day1_low,arima_value,arima_res,prediction,observation
0,RDY,Dec-19-22,08:00AM,"Dr. Reddys Successfully Completes Phase 1 Study of DRL_TC, a Proposed Biosimilar of Tocilizumab",0.4939,2599.300048828125,2626.0,2566.0,2564.3180678918557,-1,Neutral,negative
1,RDY,Oct-31-22,11:01AM,Dr. Reddy's (RDY) Earnings & Revenues Trump Estimates in Q2,0.0,2549.60009765625,2600.0,2508.0,0.0,0,Neutral,positive
2,RDY,Oct-11-22,07:57AM,World Economic Forum Recognises Dr. Reddys Hyderabad Factory as Part of its Global Lighthouse Network,0.0,2357.89990234375,2381.7,2343.1,0.0,0,Neutral,positive
3,RDY,Sep-07-22,01:28PM,"Dr. Reddy's Laboratories Announces the Launch of Lenalidomide Capsules in the U.S. With Two of Six Strengths Eligible for First-to-market, 180-day Exclusivity",0.4019,2581.75,2598.0,2571.0,2606.414611315558,1,Increase,Success
4,RDY,Aug-17-22,10:16AM,Intercept Settles Ocaliva Litigation With Reddy's Lab,-0.2023,2665.14990234375,2669.0,2640.2,2643.2057026460416,-1,Decrease,Success
5,RDY,Aug-02-22,09:45AM,Are You a Growth Investor? This 1 Stock Could Be the Perfect Pick,0.743,2584.64990234375,2610.0,2567.45,2573.500628502445,-1,Neutral,negative
6,RDY,Jul-29-22,04:28PM,"Dr. Reddy's (RDY) Q1 Earnings Increase Y/Y, Sales Increase",0.5574,2509.449951171875,2587.75,2507.6,2465.631919642002,-1,Neutral,positive
7,RDY,Jul-29-22,01:24PM,Dr. Reddy's Laboratories enters into a licensing agreement with Slayback Pharma to obtain exclusive rights in the first-to-file ANDA for the private label version of Lumify® in the U.S.,0.5719,2509.449951171875,2587.75,2507.6,2465.631919642002,-1,Neutral,positive
8,RDY,Jul-27-22,03:26AM,"Dr. Reddy's Laboratories announces the launch of Bortezomib for Injection, 3.5 mg Single-Dose Vial in the U.S. Market",0.0,2419.199951171875,2467.95,2421.0,0.0,0,Neutral,positive
9,RDY,Jul-22-22,06:17AM,"Dr. Reddys Announces the First-to-Market Launch of Over-the-Counter, Store-Brand Equivalent of Allegra-D® 24 Hr in the U.S. Market",0.0,2503.10009765625,2467.45,2403.0,0.0,0,Neutral,negative
10,RDY,Jul-08-22,11:48AM,Dr. Reddy's Laboratories Announces the Launch of Fesoterodine Fumarate Extended-Release Tablets in the U.S. Market,0.0,2391.39990234375,2428.8,2370.0,0.0,0,Neutral,positive
11,RDY,Jul-05-22,03:30AM,"Aurigene Discovery Technologies Limited Announces Drug Discovery, Development and Commercialization Partnership with EQRx",-0.2263,2433.25,2441.95,2388.0,2405.4319319206606,-1,Decrease,Success
12,RDY,Jun-24-22,09:45AM,Eton Pharma Shares Tick Higher After Offloading Hospital Products,0.296,2500.050048828125,2544.95,2481.55,2457.782669816399,-1,Neutral,positive
13,RDY,Jun-24-22,09:09AM,Dr. Reddy's Laboratories Announces the Acquisition of an Injectable Product Portfolio from Eton Pharma,0.0,2500.050048828125,2544.95,2481.55,0.0,0,Neutral,positive
14,RDY,Jun-24-22,07:30AM,Eton Pharmaceuticals Announces Sale of Hospital Products,0.0,2500.050048828125,2544.95,2481.55,0.0,0,Neutral,positive
15,RDY,Jun-14-22,02:51AM,"Dr. Reddy's Laboratories announces the launch of the generic version of Nexavar (sorafenib) Tablets, USP, 200 mg in the U.S. market",0.0,2628.10009765625,2637.3,2584.4,0.0,0,Neutral,negative
16,RDY,May-27-22,10:15AM,"Dr. Reddy's Laboratories Announces the Launch of Pemetrexed for Injection USP, in the U.S. Market",0.0,2575.10009765625,2674.0,2594.2,0.0,0,Neutral,positive
17,RDY,May-24-22,01:40PM,"Dr. Reddy's Laboratories and Senores Pharmaceuticals, Inc. announce the launch of Ketorolac Tromethamine Tablets USP, 10 mg in the U.S. market",0.0,2615.85009765625,2656.7,2601.5,0.0,0,Neutral,negative
18,RDY,May-20-22,09:50AM,"Dr. Reddy's (RDY) Q4 Earnings Decline Y/Y, Sales Increase",0.3182,2624.449951171875,2653.55,2593.0,2455.3782516673273,-1,Neutral,negative
19,RDY,Apr-20-22,12:41PM,Dr. Reddy's Laboratories Announces the Launch of Posaconazole Delayed-Release Tablets in the U.S. Market,0.0,2718.449951171875,2789.0,2732.0,0.0,0,Neutral,positive
20,RDY,Apr-05-22,06:52AM,"Dr. Reddy's Laboratories Announces the Launch of Methylprednisolone Sodium Succinate for Injection, USP in the U.S. Market",0.0,2626.050048828125,2634.5,2587.1,0.0,0,Neutral,negative
21,RDY,Apr-01-22,08:00AM,Dr. Reddy's Laboratories and MediCane Health Announce the Launch of Medical Cannabis Products in Germany,0.0,2655.85009765625,2675.0,2641.65,0.0,0,Neutral,negative
22,RDY,Mar-27-22,01:09AM,What Kind Of Investors Own Most Of ReadyTech Holdings Limited (ASX:RDY)?,-0.2263,2621.949951171875,2638.0,2607.4,2595.1592256876074,-1,Decrease,Success
23,RDY,Feb-09-22,09:17AM,"Dr. Reddy's Laboratories Announces the Launch of Its Authorized Generic Version of VASOSTRICT® (vasopressin injection, USP) Vials in the U.S. Market",0.0,2383.5,2395.7,2365.1,0.0,0,Neutral,negative
24,RDY,Feb-03-22,09:33AM,Dr. Reddy's Laboratories Enters Into Definitive Agreement to Acquire German Medical Cannabis Firm Nimbus Health GmbH,0.4939,2352.75,2348.45,2321.1,2376.917849203176,1,Increase,Failure
25,RDY,Feb-02-22,04:15AM,Dr. Reddys Included in S&P Globals Sustainability Yearbook for the 2nd Year and Bloomberg Gender-Equality Index for the 5th Year in a Row,0.0,2383.550048828125,2401.45,2347.2,0.0,0,Neutral,negative
26,RDY,Jan-31-22,01:10PM,"Dr. Reddy's (RDY) Q3 Earnings, Sales Increase Year Over Year",0.3182,2386.60009765625,2420.6,2347.1,2323.6866580114192,-1,Neutral,negative
27,RDY,Jan-31-22,09:38AM,"ARGA Investment Management, LP Buys Petroleo Brasileiro SA Petrobras, Trip. ...",0.0,2386.60009765625,2420.6,2347.1,0.0,0,Neutral,negative
28,RDY,Jan-04-22,06:18AM,UPDATE 1-Dr Reddy's to launch generic COVID-19 Merck drug at about 50 cents a pill,0.0,2458.10009765625,2477.0,2432.95,0.0,0,Neutral,negative
29,RDY,Dec-15-21,01:49PM,Dr. Reddys and Prestige BioPharma announce partnership to commercialize biosimilar for cancer treatment in select countries in Latin America and Southeast Asia,-0.6597,2373.199951171875,2415.5,2368.65,2378.308645064624,1,Neutral,negative
30,RDY,Dec-14-21,12:20PM,Prestige BioPharma and Dr. Reddys Announce Partnership to Commercialize Trastuzumab Biosimilar in Select Countries in Latin America and Southeast Asia,0.0,2380.14990234375,2405.0,2361.1,0.0,0,Neutral,negative
31,RDY,Dec-09-21,11:47PM,Dr. Reddy's Laboratories Announces the Launch of Venlafaxine ER Tablets in the U.S. Market,0.0,2456.449951171875,2466.0,2430.35,0.0,0,Neutral,negative
32,RDY,Dec-09-21,03:18AM,"Dr. Reddy's Laboratories Announces the Launch of Valsartan Tablets, USP in the U.S. Market",0.0,2456.449951171875,2466.0,2430.35,0.0,0,Neutral,negative
33,RDY,Dec-09-21,12:50AM,Prestige BioPharma and Dr. Reddys announce partnership to commercialize trastuzumab biosimilar in select countries in Latin America and Southeast Asia,0.0,2456.449951171875,2466.0,2430.35,0.0,0,Neutral,negative
34,RDY,Dec-08-21,09:00PM,Prestige BioPharma and Dr. Reddys announce partnership to commercialize trastuzumab biosimilar in select countries in Latin America and Southeast Asia,0.0,2418.10009765625,2474.9,2425.0,0.0,0,Neutral,positive
35,RDY,Nov-16-21,07:33AM,Dr. Reddy's Ready To Make COVID-19 Antiviral From Pfizer - Reuters,0.3612,2517.89990234375,2498.95,2461.0,2571.65927559082,1,Increase,Failure
36,RDY,Nov-01-21,11:50AM,"Dr. Reddy's (RDY) Q2 Earnings, Sales Increase Year Over Year",0.3182,2537.800048828125,2548.0,2495.25,2521.6181330279487,-1,Neutral,negative
37,RDY,Oct-29-21,08:59AM,"Dr. Reddy's Laboratories Announces the Launch of Ephedrine Sulfate Injection USP, 50 mg/mL, Single-Dose Vial in the U.S. Market",0.0,2536.25,2556.0,2494.1,0.0,0,Neutral,negative
38,RDY,Oct-19-21,12:14AM,Dr. Reddy's Laboratories Announces Approval for Lenalidomide Capsules from the U.S. Food and Drug Administration (USFDA),0.4767,2731.85009765625,2742.75,2691.5,2709.4670529665837,-1,Neutral,negative
39,RDY,Oct-15-21,01:40PM,"Dr. Reddy's Laboratories Announces the Launch of Carmustine for Injection, USP in the U.S. Market",0.0,2707.60009765625,2751.35,2708.0,0.0,0,Neutral,negative
40,RDY,Sep-09-21,08:30AM,"Beroni Group Received Approval for 43.5% R&D Rebate from Australian Government for the Novel, Potential Anti-Cancer Drug PENAO",0.6597,2425.60009765625,2433.0,2368.05,2429.6911516663467,1,Increase,Success
